SMILES,name,beta_40C,rho_40C_fit,fit_r2,n_points,flag
CC(=O)O,ethanoic acid,0.0010984472237712097,1.026986475524476,0.9999913575193736,11,
CC(C)O,2-propanol,0.0011971180352121585,0.7679667552447554,0.999973463817542,11,
CCCO,1-propanol,0.0010649802654248098,0.7874823356643359,0.9999724322547193,11,
c1ccoc1,furan,0.0015657983675810515,0.9105699860139864,0.9999785510253165,11,
C1=CCCC1,cyclopentene,0.0014693653242304164,0.7499755804195805,0.999999808853613,11,
C=C1CCC1,methylenecyclobutane,0.001328525906832262,0.72163213986014,0.9999554721437875,11,
C=CC(=C)C,"2-methyl-1,3-butadiene",0.001556736896291665,0.6615295804195805,0.9998686426290859,11,
C=C/C=C\C,"(Z)-1,3-pentadiene",0.0015930258170398287,0.6703292167832172,0.9999863798429387,11,
C=C/C=C/C,"(E)-1,3-pentadiene",0.0016120502169553153,0.6555881538461543,0.9999831394410303,11,
C=CCC=C,"1,4-pentadiene",0.001868979561048243,0.6376341398601402,0.9999812752392251,11,
C1CCCC1,cyclopentane,0.0014044684110170514,0.7254444895104895,0.9999886912496081,11,
C=CCCC,1-pentene,0.0018263540993316628,0.6191210489510492,0.9999818765187001,11,
CC=C(C)C,2-methyl-2-butene,0.0017554802137294543,0.6378471048951051,0.9999831757709986,11,
C=C(C)CC,2-methyl-1-butene,0.0017983149852909123,0.6286551888111889,0.9999784215723958,11,
C/C=C\CC,(Z)-2-pentene,0.0017296224063102575,0.6333124335664337,0.9999530600901307,11,
C/C=C/CC,(E)-2-pentene,0.0017185981774804678,0.6273571328671333,0.9999769270790114,11,
C=CC(C)C,3-methyl-1-butene,0.001667307773659596,0.610977006993007,0.9998393155994748,11,
O=C1CCO1,"1,3-propiolactone",0.0008521192814374673,1.2832633846153854,0.9999998540741323,11,
CCCC=O,butanal,0.0013375044000292933,0.782906951048951,0.9999946749355075,11,
CCC(C)=O,butanone,0.0013628822361418538,0.7841398041958043,0.9999995525881354,11,
CCC(C)C,2-methylbutane,0.0017902828294855573,0.5995187692307695,0.9999615413501767,11,
CCCCC,pentane,0.0017098128269887698,0.6058087552447557,0.9999696089710277,11,
CC(C)(C)C,"2,2-dimethylpropane",0.002103596214716258,0.567580475524476,0.9998981494324759,11,
COC(C)=O,methyl ethanoate,0.001520524817729015,0.9069822657342662,0.9999972148451989,11,
CCC(=O)O,propanoic acid,0.0010948150915173886,0.9720422517482522,0.9999999655823558,11,
CCOCC,diethyl ether,0.0017760271456707774,0.6898820139860141,0.9999757385101018,11,
CCC(C)O,S(+)-2-butanol,0.0011198036772012896,0.7902384195804194,0.9999796070269131,11,
CCCOC,1-methoxypropane,0.0017092860916266257,0.702543062937063,0.999980268454055,11,
CC(C)CO,2-methyl-1-propanol,0.0010342131351393496,0.7862721258741262,0.9999801256512212,11,
CCCCO,1-butanol,0.001010697945786347,0.7941715944055948,0.9999823007747679,11,
CC(C)(C)O,2-methyl-2-propanol,0.0014285665536507718,0.765059370629371,0.9998970377032288,11,
COCOC,dimethoxymethane,0.0016628792938454923,0.8331389790209793,0.9999911712325121,11,
CC#CC#CC,"2,4-hexadiyne",0.000955325314608821,0.7744449370629373,0.9999999481319568,11,
C1=CCCC=C1,"1,3-cyclohexadiene",0.0011455954700668907,0.8223099020979021,0.9999879545327033,11,
C1=CCC=CC1,"1,4-cyclohexadiene",0.0012105594282982358,0.8358279020979025,0.9999986276147712,11,
Cc1ccco1,2-methylfuran,0.0011907255861646818,0.8938689930069935,0.9999299157296913,11,
C=CCCCC,1-hexene,0.0014947655762476784,0.654009202797203,0.9999975883283039,11,
CC(C)=C(C)C,"2,3-dimethyl-2-butene",0.0013506047596935989,0.6900465734265737,0.9999870197191923,11,
C/C=C\CCC,(Z)-2-hexene,0.0014610744051537093,0.6681397342657343,0.9999941284433626,11,
O=C1CCCO1,.gamma.-butyrolactone,0.000884238300704139,1.1095978881118884,0.9999994610780507,11,
CC(C)(C)C=O,"2,2-dimethylpropanal",0.0012836126276684462,0.7628716643356647,0.9999941862760982,11,
CC(C)C(C)C,"2,3-dimethylbutane",0.001452355466694635,0.6431953286713289,0.9999886712531442,11,
CCCC(C)C,2-methylpentane,0.0014976968596508494,0.6346295944055945,0.9999851999882746,11,
CCC(C)CC,3-methylpentane,0.0014650190883207202,0.6459581538461537,0.9999814802224416,11,
CCCCCC,hexane,0.00147678838644828,0.6407966013986015,0.9999900031585953,11,
O=C1OCCO1,ethylene carbonate,0.0006812454209989056,1.321745202797203,0.9999999384808458,11,
CCCC(=O)O,butanoic acid,0.0010491300112568215,0.9380441818181817,0.9999944030251134,11,
CCOC(C)=O,ethyl ethanoate,0.0014261187746144567,0.8760298461538465,0.9999939756866643,11,
C1COCCO1,"1,4-dioxane",0.0011311586238514297,1.0109107972027973,0.99999271747534,11,
CCCOCC,ethyl propyl ether,0.0016636443893207117,0.7105973846153849,0.9999998610638455,11,
CCCCOC,butyl methyl ether,0.001423187163591854,0.7245913706293707,0.9999884058544556,11,
CCC(O)CC,3-pentanol,0.0011277711684067665,0.8024795384615387,0.9999830773421373,11,
CC(C)C(C)O,3-methyl-2-butanol,0.0011567688282345767,0.8003525174825177,0.9999850046369585,11,
CCCC(C)O,2-pentanol,0.0010846681605409536,0.7927385594405596,0.9999633926361399,11,
CCC(C)(C)O,2-methyl-2-butanol,0.0012257414298120137,0.7900269510489513,0.9999995868872206,11,
CCC(C)CO,2-methyl-1-butanol,0.0009964431688407346,0.8034783496503498,0.9999700351303082,11,
CC(C)(C)CO,"2,2-dimethyl-1-propanol",0.0012097033231960016,0.7706929230769233,0.999999670745284,11,
CCCCCO,1-pentanol,0.0009533172969187911,0.799881174825175,0.9999945642010964,11,
COC(C)(C)C,"1,1-dimethylethyl methyl ether",0.0015174231554462875,0.7191318181818185,0.9999703725326652,11,
CC(C)CCO,3-methyl-1-butanol,0.0009731703575997287,0.7954495524475524,0.9999897159938522,11,
C1OCOCO1,"1,3,5-trioxane",0.0010364509060730252,1.2176761398601401,0.999999737415276,11,
C1=CC=CCC=C1,"1,3,5-cycloheptatriene",0.001111825119564998,0.8717976083916085,0.9999991985681216,11,
Cc1ccccc1,toluene,0.0011134199028548521,0.8481481118881121,0.9999967422348948,11,
Oc1ccccc1,phenol,0.000834490111503889,1.0587641398601402,0.9999969413956835,11,
OCc1ccco1,2-hydroxymethylfuran,0.0008869764301094347,1.1145417482517488,0.9999997584342422,11,
C=CCCCCC,1-heptene,0.0013502192817881058,0.6789286573426575,0.9999981742403763,11,
CC1(C)CCCC1,"1,1-dimethylcyclopentane",0.0012671658628819543,0.7360980139860144,0.9999982758379798,11,
C1CC12CC2,spiro[2.2]pentane,0.0015485834100127608,0.7329884195804197,0.9999929236733429,11,
C1=CCCCC1,cyclohexene,0.0012262633026371077,0.7914002097902099,0.9999976505579495,11,
CC1CCCC1,methylcyclopentane,0.0013146054530558016,0.7300056923076924,0.999991890052465,11,
CCC(=O)CC,3-pentanone,0.0012538289512775821,0.7945446433566438,0.9999962171433212,11,
CCCCC=O,pentanal,0.0012581049039679757,0.7902622937062938,0.9999993549667147,11,
OC1CCCC1,cyclopentanol,0.000895492002170557,0.9307271748251752,0.9999958567455057,11,
CC(=O)C(C)C,3-methyl-2-butanone,0.0010823807193242093,0.7934051468531471,0.9999604496238312,11,
